lon,lat
139.766103,35.681391
139.758587,35.666195
139.738999,35.62876
139.697485,35.531311
139.622704,35.466195
139.534282,35.400432
139.531127,35.353466
139.487293,35.338882
139.447106,35.336847
139.407197,35.330741
139.349063,35.327647
139.313388,35.311299
139.256925,35.298644
139.212932,35.280832
139.180147,35.275744
139.155772,35.256225
139.145014,35.238875
139.138504,35.202455
139.132148,35.156837
139.102142,35.146178
139.728439,35.619772
139.723822,35.625974
139.715775,35.633923
139.71007,35.646685
139.701238,35.658871
139.702592,35.670646
139.702042,35.683061
139.700464,35.689729
139.700261,35.700875
139.703715,35.712677
139.706228,35.720476
139.711086,35.730256
139.728584,35.731412
139.739303,35.733445
139.748053,35.736825
139.761229,35.737781
139.766857,35.731954
139.771287,35.727908
139.778015,35.721484
139.777043,35.71379
139.774727,35.707282
139.773288,35.698619
139.770641,35.691173
139.766103,35.681391
139.763806,35.675441
139.758587,35.666195
139.757135,35.655391
139.747575,35.645736
139.738999,35.62876
139.697485,35.531311
139.684233,35.530939
139.68055,35.539408
139.674964,35.551459
139.671039,35.560565
139.66725,35.572891
139.65963,35.57669
139.640613,35.581498
139.629419,35.587369
139.61139,35.598923
139.600002,35.604259
139.592714,35.610363
139.579565,35.615429
139.570028,35.620889
139.5501,35.630135
139.535173,35.633701
139.520849,35.641305
139.502811,35.644184
139.489781,35.649249
139.477142,35.665766
139.468798,35.668493
139.457477,35.670912
139.446724,35.681377
139.431611,35.685079
139.423887,35.69375
139.413704,35.698202
139.691446,35.523071
139.699348,35.518234
139.704944,35.5145
139.713483,35.510428
139.67614,35.508387
139.675599,35.50083
139.681226,35.497005
139.689451,35.495758
139.695739,35.497555
139.7001,35.491914
139.700603,35.486073
139.700663,35.499668
139.711038,35.495646
139.706513,35.501912
139.713575,35.509863
139.723897,35.506836
139.722147,35.501452
139.477142,35.665766
139.471792,35.68088
139.465994,35.699744
139.470745,35.73128
139.493592,35.778331
139.513878,35.79461
139.556328,35.80381
139.587322,35.815475
139.627707,35.844139
139.647974,35.846047
139.669125,35.847648
139.704627,35.864079
139.744087,35.875246
139.790499,35.876106
139.820219,35.87622
139.843162,35.87662
139.858167,35.868056
139.869341,35.858667
139.886341,35.845004
139.903865,35.838035
139.921076,35.825467
139.938393,35.792013
139.943848,35.770611
139.951227,35.755432
139.966771,35.730435
139.959536,35.707283
139.633466,35.47804
139.646288,35.492375
139.630147,35.509749
139.617348,35.506824
139.599787,35.508533
139.56707,35.510955
139.539692,35.514745
139.51669,35.526254
139.49468,35.531698
139.472875,35.535412
139.445579,35.542004
139.419151,35.556055
139.395075,35.568784
139.386373,35.573275
139.371007,35.58113
139.344586,35.594975
139.33169,35.60694
139.330678,35.630664
139.34119,35.639704
139.338998,35.655555
139.622704,35.466195
139.630881,35.451112
139.636984,35.443336
139.642934,35.438808
139.646425,35.426891
139.636034,35.415887
139.617916,35.399881
139.619483,35.386863
139.596852,35.378785
139.576243,35.375183
139.550159,35.36787
139.531127,35.353466
139.766103,35.681391
139.758587,35.666195
139.738999,35.62876
139.721729,35.601616
139.663278,35.575965
139.671481,35.551784
139.622704,35.466195
139.599671,35.446746
139.556794,35.430353
139.534282,35.400432
139.531127,35.353466
139.545134,35.337198
139.550428,35.318793
139.578292,35.297392
139.601768,35.298781
139.637726,35.29271
139.655855,35.284022
139.661193,35.257091
139.700862,35.233107
139.407197,35.330741
139.407569,35.339167
139.400044,35.35655
139.387452,35.367579
139.379639,35.382261
139.378422,35.395098
139.380139,35.406761
139.377281,35.420543
139.378631,35.44375
139.389328,35.454282
139.391913,35.478478
139.386297,35.492734
139.380428,35.518516
139.375355,35.528978
139.362988,35.545392
139.36315,35.557623
139.352484,35.58042
139.344586,35.594975
139.766103,35.681391
139.730644,35.686041
139.700464,35.689729
139.579765,35.703119
139.560325,35.702683
139.480841,35.700123
139.413704,35.698202
139.39393,35.679244
139.381495,35.659502
139.338998,35.655555
139.31264,35.656621
139.282288,35.642026
139.1885,35.617335
139.15239,35.615918
139.766103,35.681391
139.770641,35.691173
139.764955,35.699605
139.754312,35.702039
139.745143,35.701835
139.735241,35.691105
139.730644,35.686041
139.720729,35.680031
139.711644,35.681231
139.702042,35.683061
139.700464,35.689729
139.69732,35.700784
139.684436,35.706529
139.665835,35.705765
139.649664,35.705326
139.635868,35.704818
139.620109,35.704523
139.599361,35.703842
139.579765,35.703119
139.560325,35.702683
139.543402,35.702083
139.524837,35.701643
139.506483,35.701337
139.480841,35.700123
139.465994,35.699744
139.44634,35.69923
139.413704,35.698202
139.39393,35.679244
139.381495,35.659502
139.338998,35.655555
139.31264,35.656621
139.282288,35.642026
139.560325,35.702683
139.579765,35.703119
139.599361,35.703842
139.620109,35.704523
139.635868,35.704818
139.649664,35.705326
139.665835,35.705765
139.684436,35.706529
139.69732,35.700784
139.700464,35.689729
139.702042,35.683061
139.711644,35.681231
139.720729,35.680031
139.730644,35.686041
139.735241,35.691105
